N0,,4;95;6;36
N1,,92;15
N2,,92;69;6
N3,,67;92;6
N4,,57;6
N5,,2;46
N6,,41;76;21
N7,,53;86
N8,,83;53
N9,,2;83;76
N10,,41;2;76
N11,,9;2;41
N12,,33;4;37;9;63
N13,,32;49;22;55;61
N14,,32;49;61;70
N15,,32;33;4;37;9
N16,,24;51
N17,,33;58;26
N18,,58;71
N19,,17;58;45
N20,,42;54
N21,,72;42
N22,,24;58;72
N23,,24;33;58
N24,,8;98;19
N25,,10;11
N26,,98;24;10;91;44;29
N27,,98;20;24;10;91;44
N28,,34;98;24;10;91
N29,,24;34;19;98
N30,,24;33;19
N31,,9;19;4;33
N32,,9;19;4;6
N33,,89;35
N34,,18;52
N35,,18;39
N36,,81;85
N37,,88;81;4;84
N38,,88;81;4;77
N39,,88;4;77;78
N40,,48;62
N41,,16;90
N42,,16;50;96
N43,,13;14
N44,,68;13
N45,,56;25;38
N46,,56;25;30
N47,,47;93;79
N48,,40;93;79
N49,,40;30
N50,,73;12;1
N51,,3;31
N52,,97;3
N53,,64;1;97
N54,,65;82;27
N55,,65;74
N56,,1;43;28;87
N57,,74;28;94
N58,,1;74;43;28
N59,,1;43;74;59;13;30
N60,,64;1;13;30
N61,,25;13;30
N62,,16;25;66;7
N63,,48;5
N64,,5;7
N65,,60;5;23
N66,,35;4;23;39;75;77;78
N67,,0;4;77
N68,,80;4
N69,,9;99;4;6
N3,N1,
N3,N2,
N8,N7,
N9,N8,
N10,N6,
N10,N9,
N11,N10,
N11,N5,
N14,N13,
N15,N12,
N15,N14,
N21,N20,
N22,N21,
N23,N22,
N23,N17,
N23,N18,
N23,N19,
N27,N26,
N28,N25,
N28,N27,
N29,N24,
N29,N28,
N30,N23,
N30,N29,
N30,N16,
N31,N30,
N31,N15,
N32,N31,
N35,N34,
N38,N36,
N38,N37,
N39,N38,
N46,N45,
N48,N47,
N49,N48,
N52,N51,
N53,N52,
N55,N54,
N58,N56,
N58,N57,
N59,N55,
N59,N58,
N60,N59,
N60,N50,
N60,N53,
N61,N43,
N61,N44,
N61,N60,
N61,N46,
N61,N49,
N62,N41,
N62,N42,
N62,N61,
N63,N40,
N64,N62,
N65,N63,
N65,N64,
N66,N39,
N66,N33,
N66,N65,
N66,N35,
N67,N66,
N69,N11,
N69,N0,
N69,N32,
N69,N3,
N69,N67,
N69,N4,
N69,N68,
