N0,,16;35;44;46;31
N1,,16;28;35;5;44;45;46
N2,,35;5;44;45;16;20;28;29
N3,,0;1;35;5;12;44;16;20;25;28;29
N4,,0;1;2;4;5;9;10;11;12;15;16;20;25;28;29;35;49
N5,,3;30;15
N6,,32;16;18;37;25;42;29
N7,,33;2;37;27;12;14
N8,,22;21;38;7
N9,,32;21;38;7;8;9;14
N10,,41;37;39
N11,,34;20;37;8;41;11
N12,,0;43;13;47
N13,,0;8;40;43;13
N14,,0;37;8;40;43;30
N15,,8;24;48;4
N16,,26;43;36
N17,,17;24;43;26;11
N18,,17;4;37;8;11;43;24
N19,,0;32;34;4;37;38;7;8;9;11;43;14;17;20;30
N20,,0;4;7;9;11;14;16;17;19;20;23;30;32;34;37;38;43;49
N21,,0;4;7;9;11;14;16;17;19;20;23;25;27;30;32;34;37;38;49
N22,,0;2;4;7;9;11;12;14;16;17;18;19;20;23;25;27;29;30;32;34;37;49
N23,,0;1;2;4;7;9;11;12;14;15;16;17;18;19;20;23;25;27;29;30;49
N24,,0;1;2;4;5;7;9;10;11;12;14;15;16;17;18;19;20;23;25;27;28;29;49
N25,,0;1;2;4;5;6;7;9;10;11;12;14;15;16;17;18;19;20;23;25;27;28;49
N1,N0,
N2,N1,
N3,N2,
N4,N3,
N9,N8,
N11,N10,
N13,N12,
N14,N13,
N17,N16,
N18,N15,
N18,N17,
N19,N11,
N19,N14,
N19,N18,
N19,N9,
N20,N19,
N21,N20,
N22,N21,
N22,N6,
N22,N7,
N23,N5,
N23,N22,
N24,N4,
N24,N23,
N25,N24,
