N0,,17;5;25;28;30
N1,,44;6
N2,,44;23
N3,,44;37;46
N4,,1;37
N5,,27;36
N6,,34;27
N7,,16;24;45
N8,,43;39
N9,,40;13
N10,,40;43;31
N11,,8;16;40;24
N12,,8;22
N13,,8;34;21;38
N14,,1;17;5;25;28
N15,,34;5;38
N16,,33;10
N17,,41;10;20;5
N18,,32;2;7;14;15
N19,,26;47
N20,,32;26;11
N21,,32;48;26
N22,,32;2;7;9;14
N23,,42;4;12
N24,,18;35;4
N25,,3;29
N26,,0;3;19
N27,,0;18;4
N28,,2;42;4;5
N29,,2;5;7
N30,,41;10;5;7
N31,,49;10;5
N3,N1,
N3,N2,
N4,N3,
N6,N5,
N10,N8,
N11,N7,
N11,N9,
N11,N10,
N13,N11,
N13,N12,
N14,N0,
N14,N4,
N15,N6,
N15,N13,
N21,N19,
N21,N20,
N22,N18,
N22,N21,
N26,N25,
N27,N24,
N27,N26,
N28,N23,
N28,N27,
N29,N22,
N29,N28,
N30,N17,
N30,N29,
N31,N16,
N31,N14,
N31,N30,
N31,N15,
