N0,,2;39
N1,,9;5
N2,,6;14
N3,,8;29
N4,,0;21
N5,,10;15
N6,,0;15
N7,,19;12;23
N8,,2;19;23
N9,,11;27
N10,,24;27
N11,,1;37;31
N12,,16;36
N13,,26;3;44;6
N14,,17;6;25
N15,,48;17;3;6
N16,,48;3;36;6;8
N17,,2;3;36;6;8;44
N18,,28;5;7
N19,,40;30
N20,,34;20;47
N21,,34;20;38
N22,,18;36;38;7;40;15
N23,,33;42;35
N24,,32;13;35;5
N25,,23;7;43;45;31
N26,,23;7;41;43;31;15
N27,,35;5;22;41;46
N28,,35;23;5;7;41;31;15
N29,,33;35;23;5;7;31;15
N30,,33;23;5;7;44;31;15
N31,,4;36;5;7;8;44;15;23;24;31
N32,,36;5;4;8;44;15;49;23;24;31
N33,,2;36;5;6;8;44;15;49;23;24;31
N6,N4,
N8,N7,
N10,N9,
N15,N14,
N16,N15,
N17,N13,
N17,N16,
N21,N20,
N22,N19,
N22,N21,
N26,N25,
N28,N26,
N28,N27,
N29,N23,
N29,N24,
N29,N28,
N30,N29,
N31,N18,
N31,N22,
N31,N30,
N32,N31,
N33,N2,
N33,N3,
N33,N5,
N33,N6,
N33,N8,
N33,N10,
N33,N11,
N33,N12,
N33,N0,
N33,N32,
N33,N17,
N33,N1,
